Exp_ID,Num_Orders,Param_N_Auto,Param_Cost_Auto,Param_N_Manual,Total_Cost,Unserved_Rate,Solve_Time_Sec,Status
A_1,50,10,10.0,20,790250.0,0.0863,17.97,2
A_2,50,10,10.0,40,790250.0,0.0863,18.81,2
A_3,50,10,15.0,20,809940.0,0.0911,21.83,2
A_4,50,10,15.0,40,809940.0,0.0911,21.95,2
A_5,50,10,20.0,20,829140.0,0.0911,22.35,2
A_6,50,10,20.0,40,829140.0,0.0911,28.74,2
A_7,50,20,10.0,20,790250.0,0.0863,18.36,2
A_8,50,20,10.0,40,790250.0,0.0863,18.25,2
A_9,50,20,15.0,20,809940.0,0.0911,18.89,2
A_10,50,20,15.0,40,809940.0,0.0911,23.43,2
A_11,50,20,20.0,20,829140.0,0.0911,20.73,2
A_12,50,20,20.0,40,829140.0,0.0911,23.54,2
A_13,50,30,10.0,20,790250.0,0.0863,18.48,2
A_14,50,30,10.0,40,790250.0,0.0863,21.85,2
A_15,50,30,15.0,20,809940.0,0.0911,26.72,2
A_16,50,30,15.0,40,809940.0,0.0911,25.49,2
A_17,50,30,20.0,20,829140.0,0.0911,31.21,2
A_18,50,30,20.0,40,829140.0,0.0911,26.41,2
