Num_Orders,Penalty_Lost,Mechanism,Fleet_Scale,Solver,Replications,Optimal_Rate,Mean_Total_Cost,SD_Total_Cost,Max_Total_Cost,Mean_Unserved_Rate,SD_Unserved_Rate,Max_Unserved_Rate,Mean_Solve_Time_Sec,SD_Solve_Time_Sec,Max_Solve_Time_Sec,Mean_MIP_Gap,SD_MIP_Gap,Max_MIP_Gap,Mean_Direct_Ratio,SD_Direct_Ratio,Max_Direct_Ratio,Mean_Manual_Usage,SD_Manual_Usage,Max_Manual_Usage,Mean_Auto_Usage,SD_Auto_Usage,Max_Auto_Usage
100,1.0,direct_only,0.75,flexible_direct_mip,3,1.0,1071.3435342295,51.04497017422984,1130.0,0.22203333333333333,0.1684033649703394,0.4053,1.4533333333333331,0.03214550253664321,1.49,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0
100,1.0,direct_only,1.0,flexible_direct_mip,3,1.0,1071.3435342295,51.04497017422984,1130.0,0.22203333333333333,0.1684033649703394,0.4053,1.51,0.1777638883463117,1.71,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0
100,1.0,direct_only,1.25,flexible_direct_mip,3,1.0,1071.3435342295,51.04497017422984,1130.0,0.22203333333333333,0.1684033649703394,0.4053,1.4233333333333331,0.023094010767585053,1.45,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0
100,1.0,flexible,0.75,flexible_direct_mip,3,1.0,929.6663911692,68.52939284039192,996.9991735076,0.22563333333333332,0.10994500140221625,0.3072,2.6199999999999997,0.8054191455385201,3.55,0.0,0.0,0.0,7.917791826666667e-20,1.3714017727540255e-19,2.375337548e-19,6.666666718799999,1.1547004932304632,8.0,3.3333317102,0.5773516748694598,4.0
100,1.0,flexible,1.0,flexible_direct_mip,3,1.0,929.6666666666666,68.5297988712453,997.0,0.22563333333333332,0.10994500140221625,0.3072,2.7266666666666666,0.8271235296697426,3.68,0.0,0.0,0.0,1.2900194913333333e-18,2.234379301743492e-18,3.870058474e-18,6.666666666666667,1.1547005383792515,8.0,3.3333333333333335,0.5773502691896257,4.0
100,1.0,flexible,1.0,paper_candidate_mip,3,1.0,1124.6666666666667,116.09191760554795,1258.0,0.25343333333333334,0.14003689989903853,0.4121,0.9033333333333333,0.2311565126344774,1.17,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0
100,1.0,flexible,1.25,flexible_direct_mip,3,1.0,929.6666666666666,68.5297988712453,997.0,0.22563333333333332,0.10994500140221625,0.3072,2.69,0.9396275858019495,3.77,0.0,0.0,0.0,1.2900194913333333e-18,2.234379301743492e-18,3.870058474e-18,6.666666666666667,1.1547005383792515,8.0,3.3333333333333335,0.5773502691896257,4.0
100,1.0,transshipment_only,0.75,flexible_direct_mip,3,1.0,929.6666666666666,68.5297988712453,997.0,0.22563333333333332,0.10994500140221625,0.3072,2.0933333333333333,0.2746512940681935,2.4,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,1.1547005383792515,8.0,3.3333333333333335,0.5773502691896257,4.0
100,1.0,transshipment_only,1.0,flexible_direct_mip,3,1.0,929.6666666666666,68.5297988712453,997.0,0.22563333333333332,0.10994500140221625,0.3072,2.103333333333333,0.17502380790433428,2.28,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,1.1547005383792515,8.0,3.3333333333333335,0.5773502691896257,4.0
100,1.0,transshipment_only,1.25,flexible_direct_mip,3,1.0,929.6666666666666,68.5297988712453,997.0,0.22563333333333332,0.10994500140221625,0.3072,2.013333333333333,0.24110855093366843,2.24,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,1.1547005383792515,8.0,3.3333333333333335,0.5773502691896257,4.0
